pop1	ecotype1	pop2	ecotype2	geography	ecology	intercept	recomb_rate	ds	gene_count	linear_model_warning	n_windows_dxy	n_windows_fst	group	reg1	reg2	geography2	group2
bea	lake	res	marine	allo	D	0.00345560521027852	2.04142965749292e-05	-2.4401452634891e-05	-4.17674794890187e-05	NA	190	1584	allo_D	al	al	para	para_D
bea	lake	roberts	lake	allo	S	0.00369799573406095	3.51972720500958e-06	6.87281408525951e-05	-6.57325541415874e-05	NA	124	1714	allo_S	al	bc	allo	allo_S
bea	lake	roberts	stream	allo	D	0.00371970159927299	-7.45052829492937e-06	-1.95296699552863e-05	-7.58219090786247e-05	NA	119	1615	allo_D	al	bc	allo	allo_D
bea	lake	sk	marine	allo	D	0.00691435029470473	0.000101739584074345	0.00113896591335912	-0.000130868893844574	NA	0	115	allo_D	al	ns	allo	allo_D
bea	lake	sr	marine	allo	D	0.00735523790420612	7.9952427740185e-05	0.0010579898920069	-0.000298694969050925	NA	0	126	allo_D	al	ns	allo	allo_D
bea	lake	sr	white	allo	D	0.00966271940440719	1.53388753220381e-05	7.61278366536348e-05	-0.00049328138221887	NA	0	150	allo_D	al	ns	allo	allo_D
boot	lake	al	marine	allo	D	0.00664445562714761	-3.88436260961639e-05	-0.00105990636334745	-8.41368085059054e-05	NA	0	219	allo_D	bc	ns	allo	allo_D
boot	lake	boot	stream	para	D	0.00231546316123297	-3.76612955977124e-06	0.000513685513971374	-6.78338069786217e-05	NA	591	1457	para_D	bc	bc	para	para_D
boot	lake	cl	marine	allo	D	0.0055454110007891	4.62116267717336e-05	-0.00031627670819209	0.000116844793179738	NA	0	145	allo_D	bc	ns	allo	allo_D
boot	lake	cl	white	allo	D	0.00566988890551031	1.5104353718759e-05	-0.000116074583024943	-5.05514689044235e-05	NA	0	230	allo_D	bc	ns	allo	allo_D
boot	lake	constance	lake	allo	S	0.00183119765722027	-5.22596488102574e-06	0.000100040261000508	-2.83606318775802e-05	NA	728	1865	allo_S	bc	sl	allo	allo_S
boot	lake	constance	stream	allo	D	0.00186861446218962	-4.21778317719324e-06	0.000163012121250658	-3.76477186316004e-05	NA	735	1902	allo_D	bc	sl	allo	allo_D
boot	lake	cp	marine	allo	D	0.00577110713912153	7.16405223273546e-07	-0.000886444952745719	-9.63224840496663e-05	NA	1	375	allo_D	bc	ns	allo	allo_D
boot	lake	geneva	lake	allo	S	0.00196653973235007	-1.41953675126231e-05	5.492891175752e-05	-4.90526224148162e-05	NA	747	1844	allo_S	bc	sl	allo	allo_S
