pop1	ecotype1	pop2	ecotype2	geography	ecology	intercept	recomb_rate	ds	gene_count	linear_model_warning	n_windows_dxy	n_windows_fst	group	reg1	reg2	geography2	group2
constance	stream	misty	lake	allo	D	-2.50514867928867	-1632.99319161705	-0.422597374255684	-0.00695037719636955	NA	788	2094	allo_D	sl	bc	allo	allo_D
constance	stream	misty	stream	allo	S	-2.88261572446421	6391.62451684879	-0.140615683385439	0.00647313708785698	NA	787	2079	allo_S	sl	bc	allo	allo_S
constance	stream	roberts	lake	allo	D	-2.75045728628456	33411.9723490662	-0.561638222535051	0.0218038559098508	NA	785	2150	allo_D	sl	bc	allo	allo_D
constance	stream	roberts	stream	allo	S	-2.45164226821908	-2177.27684053174	-0.73025207396635	0.0424396546435994	NA	769	2032	allo_S	sl	bc	allo	allo_S
constance	stream	sk	marine	allo	D	-3.37310141753663	1158.46356390786	1.72022604334379	-0.275252270651045	NA	0	100	allo_D	sl	ns	allo	allo_D
constance	stream	sr	marine	allo	D	-3.05898103291248	-5682.41090642551	1.57760641232864	-0.339358367649169	NA	0	117	allo_D	sl	ns	allo	allo_D
constance	stream	sr	white	allo	D	-3.49461404487306	20872.1455031833	0.744948144119661	-0.0477714988298572	NA	0	148	allo_D	sl	ns	allo	allo_D
cp	marine	ln	marine	allo	S	-1.95131249623737	-7570.6877365253	-1.26038504070334	0.044468674251196	NA	3061	3175	allo_S	ns	ns	para	para_S
cp	marine	mh	marine	allo	S	-3.0981829088969	14629.1483796656	-0.100106545370839	0.0349260209222471	NA	2164	2491	allo_S	ns	ns	para	para_S
cp	marine	mh	white	allo	D	-2.28125459164196	-18610.3686122502	-0.093040722507165	-0.116534353841254	NA	1647	2094	allo_D	ns	ns	para	para_D
cp	marine	sk	marine	allo	S	-2.46247188061975	-2395.76968846309	-0.392990223005051	-0.0243781061579478	NA	2641	2840	allo_S	ns	ns	para	para_S
cp	marine	sr	marine	allo	S	-2.70961319759185	9912.55474987865	-0.251688222027506	-0.0140068159120659	NA	2770	2932	allo_S	ns	ns	para	para_S
cp	marine	sr	white	allo	D	-1.70105527300223	-6664.17732396117	-1.20240601506953	-0.0260145626563004	NA	2930	3072	allo_D	ns	ns	para	para_D
cr	stream	al	marine	allo	D	-0.951318767243363	-41339.394748217	-0.337761962397547	-0.0796522726174996	NA	1	398	allo_D	or	ns	allo	allo_D
cr	stream	bea	lake	allo	D	-2.63208628224	2294.26982023474	-0.231312296143454	-0.0222150904898847	NA	100	1628	allo_D	or	al	allo	allo_D
cr	stream	boot	lake	allo	D	-1.66169215989488	4518.77850295118	-1.00140029036473	-0.0381618114158886	NA	617	2103	allo_D	or	bc	allo	allo_D
cr	stream	boot	stream	allo	S	-1.79558753606015	-10649.7907788128	-0.661067829375078	-0.00942511081192319	NA	498	1949	allo_S	or	bc	allo	allo_S
cr	stream	cl	marine	allo	D	0.55795946527163	-58945.6389780723	-1.36048716359218	-0.11425185622184	NA	1	243	allo_D	or	ns	allo	allo_D
cr	stream	cl	white	allo	D	-0.276175390538804	-52976.0333531351	-0.686234316398616	-0.112462955276039	NA	3	383	allo_D	or	ns	allo	allo_D
cr	stream	constance	lake	allo	D	-1.56480472736168	23149.2275772824	-0.65102722840081	-0.014251494160607	NA	643	2084	allo_D	or	sl	allo	allo_D
cr	stream	constance	stream	allo	S	-1.72021871205471	20237.2905233862	-0.532759097010726	-0.0264721058170808	NA	652	2121	allo_S	or	sl	allo	allo_S
cr	stream	cp	marine	allo	D	-0.299061847167165	-21931.8638783119	-1.22284360038211	-0.0464461771785414	NA	8	628	allo_D	or	ns	allo	allo_D
cr	stream	cs	marine	allo	D	-1.68888473202879	13576.4973279745	-1.28279198687484	-0.0399226460583558	NA	1545	2886	allo_D	or	or	para	para_D
cr	stream	denmark	marine	allo	D	-0.958475044750295	17831.4177023913	-0.460152650869307	-0.10130547945551	NA	124	1339	allo_D	or	ne	allo	allo_D
cr	stream	geneva	lake	allo	D	-1.4644542397838	20742.3636604269	-1.05109798397836	0.0185970416347191	NA	641	2074	allo_D	or	sl	allo	allo_D
cr	stream	geneva	stream	allo	S	-0.970215607102532	8287.14459138072	-1.40878800728534	0.0258648849121317	NA	649	2060	allo_S	or	sl	allo	allo_S
