pop1 ecotype1 pop2 ecotype2 region1 region2 geography group intercept recomb_rate ds gene_count
cl white cp marine ns ns para para_D -4.505 0.093 1.231 4e-03
cl white ln marine ns ns para para_D -4.191 0.107 0.721 0.032
cl white mh marine ns ns para para_D -4.364 0.115 0.866 0.029
cl white mh white ns ns para para_S -4.058 0.079 0.679 0.039
cl white sk marine ns ns para para_D -3.808 0.099 0.567 -0.013
cl white sr marine ns ns para para_D -4.128 0.118 0.641 0.023
cl white sr white ns ns para para_S -4.156 0.112 0.776 7e-03
constance lake al marine sl ns allo allo_D NA NA NA NA
constance lake cl marine sl ns allo allo_D NA NA NA NA
constance lake cl white sl ns allo allo_D NA NA NA NA
constance lake constance stream sl sl para para_D -1.634 7e-03 -1.254 -0.031
constance lake cp marine sl ns allo allo_D NA NA NA NA
constance lake geneva lake sl sl para para_S -2.067 0.045 -0.899 -0.041
constance lake geneva stream sl sl para para_D -1.953 0.061 -1.167 -0.033
constance lake joes lake sl bc allo allo_S -2.532 -0.017 -0.592 0.039
constance lake joes stream sl bc allo allo_D -2.957 -0.014 -0.382 0.083
constance lake ln marine sl ns allo allo_D NA NA NA NA
constance lake mh marine sl ns allo allo_D NA NA NA NA
constance lake mh white sl ns allo allo_D NA NA NA NA
constance lake misty lake sl bc allo allo_S -3.323 -0.031 0.676 -0.031
constance lake misty stream sl bc allo allo_D -2.751 -0.035 0.261 -0.063
constance lake roberts lake sl bc allo allo_S -3.028 0.023 -0.73 0.129
constance lake roberts stream sl bc allo allo_D -2.807 -0.022 -0.518 0.083
constance lake sk marine sl ns allo allo_D NA NA NA NA
constance lake sr marine sl ns allo allo_D NA NA NA NA
constance lake sr white sl ns allo allo_D NA NA NA NA
constance stream al marine sl ns allo allo_D NA NA NA NA
constance stream cl marine sl ns allo allo_D NA NA NA NA
constance stream cl white sl ns allo allo_D NA NA NA NA
constance stream cp marine sl ns allo allo_D NA NA NA NA
constance stream geneva lake sl sl para para_D -1.516 0.068 -1.67 -0.032
constance stream geneva stream sl sl para para_S -1.533 0.064 -1.828 8e-03
constance stream joes lake sl bc allo allo_D -1.874 -1e-03 -1.399 0.044
constance stream joes stream sl bc allo allo_S -1.642 3e-03 -1.666 0.046
constance stream ln marine sl ns allo allo_D NA NA NA NA
constance stream mh marine sl ns allo allo_D NA NA NA NA
constance stream mh white sl ns allo allo_D NA NA NA NA
constance stream misty lake sl bc allo allo_D -2.17 -0.022 -0.669 -9e-03
constance stream misty stream sl bc allo allo_S -2.28 -0.045 -0.55 5e-03
constance stream roberts lake sl bc allo allo_D -3.012 -0.018 -0.271 0.076
constance stream roberts stream sl bc allo allo_S -2.746 -0.023 -0.583 0.083
constance stream sk marine sl ns allo allo_D NA NA NA NA
constance stream sr marine sl ns allo allo_D NA NA NA NA
constance stream sr white sl ns allo allo_D NA NA NA NA
cp marine ln marine ns ns para para_S -4.033 0.105 0.488 0.05
cp marine mh marine ns ns para para_S -4.547 0.108 0.993 0.046
cp marine mh white ns ns para para_D -4.377 0.093 0.94 0.041
cp marine sk marine ns ns para para_S -4.337 0.1 0.958 0.02
cp marine sr marine ns ns para para_S -3.937 0.131 0.427 0.011
cp marine sr white ns ns para para_D -4.051 0.097 0.76 4e-03
cr stream al marine or ns allo allo_D NA NA NA NA
cr stream bea lake or al allo allo_D -1.924 -0.177 1.162 -0.308
cr stream boot lake or bc allo allo_D -1.85 -0.084 -0.705 -0.028
cr stream boot stream or bc allo allo_S -1.012 -0.095 -1.809 6e-03
cr stream cl marine or ns allo allo_D NA NA NA NA
cr stream cl white or ns allo allo_D NA NA NA NA
cr stream constance lake or sl allo allo_D -1.42 -0.054 -0.985 -0.081
cr stream constance stream or sl allo allo_S -1.595 -2e-03 -1.094 -0.06
cr stream cp marine or ns allo allo_D NA NA NA NA
cr stream cs marine or or para para_D -3.076 -0.123 0.164 0.062
cr stream denmark marine or ne allo allo_D -1.008 -0.51 -1.293 0
cr stream geneva lake or sl allo allo_D -1.293 -0.082 -0.86 -0.121
cr stream geneva stream or sl allo allo_S -0.923 -0.101 -1.021 -0.158
cr stream hadsten lake or ne allo allo_D -1.947 -0.062 -1.029 0.034
cr stream hald lake or ne allo allo_D -2.846 -0.033 -0.168 0.034
cr stream japan japansea or jp allo allo_D -2.371 0.036 -0.346 -0.083
cr stream japan marine or jp allo allo_D -3.062 -0.048 0.02 0.05
cr stream joes lake or bc allo allo_D -1.769 -0.082 -2.116 0.181
cr stream joes stream or bc allo allo_S -2.051 -0.126 -0.943 0.063
cr stream litcampbell marine or bc allo allo_D NA NA NA NA
cr stream ln marine or ns allo allo_D NA NA NA NA
cr stream mariager marine or ne allo allo_D -3.143 -0.025 0.028 0.053
cr stream mh marine or ns allo allo_D NA NA NA NA
cr stream mh white or ns allo allo_D NA NA NA NA
cr stream misty lake or bc allo allo_D -2.274 -0.091 -0.369 -2e-03
cr stream misty stream or bc allo allo_S -2.065 -0.124 -0.564 7e-03
cr stream ms marine or or para para_D -2.008 -0.111 -1.195 0.093
cr stream mud lake or al allo allo_D -2.798 -0.144 1.63 -0.266
cr stream pcr lake or or para para_D -2.512 -0.127 -0.312 0.042
cr stream pl lake or or para para_D -3.442 0.054 0.105 0.031
cr stream rab marine or al allo allo_D NA NA NA NA
cr stream rb stream or or para para_S -3.124 0.023 -0.058 0.031
cr stream res marine or al allo allo_D NA NA NA NA
cr stream roberts lake or bc allo allo_D -2.572 -0.135 0.229 -0.036
cr stream roberts stream or bc allo allo_S -2.379 -0.08 -0.408 0.018
cr stream sj marine or or para para_D -2.968 -0.12 0.038 0.064
cr stream sk marine or ns allo allo_D NA NA NA NA
cr stream sr marine or ns allo allo_D NA NA NA NA
cr stream sr white or ns allo allo_D NA NA NA NA
cr stream stl lake or or para para_D -3.82 0.092 0.468 -8e-03
