pop1 ecotype1 pop2 ecotype2 geography ecology least.cost.distance euc.distance dist.to.coast1 dist.to.coast2
cl marine sk marine allo S 360.86318430572 273 1.3313493302831 35.9627143348956
cl marine sr marine allo S 264.203582688852 214 1.3313493302831 12.6560282118309
cl marine sr white allo D 264.203582688852 214 1.3313493302831 12.6560282118309
cl white cp marine allo D 339.046450366685 207 1.3313493302831 10.799793169396
cl white ln marine allo D 367.10428774461 283 1.3313493302831 43.5627804024789
cl white mh marine allo D 264.203582688852 209 1.3313493302831 23.2791620087163
cl white mh white allo S 264.203582688852 209 1.3313493302831 23.2791620087163
cl white sk marine allo D 360.86318430572 273 1.3313493302831 35.9627143348956
cl white sr marine allo D 264.203582688852 214 1.3313493302831 12.6560282118309
cl white sr white allo S 264.203582688852 214 1.3313493302831 12.6560282118309
constance lake al marine allo D 13087.5224518935 5258 309.669173746895 17.7034262798047
constance lake cl marine allo D 13396.2955977516 5453 309.669173746895 2.55735725140837
constance lake cl white allo D 13396.2955977516 5453 309.669173746895 2.55735725140837
constance lake constance stream para D NA 5 309.669173746895 312.874383317611
constance lake cp marine allo D 13087.5224518935 5249 309.669173746895 9.43806083460371
constance lake geneva lake allo S 1906.33169491669 247 309.669173746895 276.805569090188
constance lake geneva stream allo D 1906.33169491669 240 309.669173746895 257.985717905614
constance lake joes lake allo S 19967.5757554351 8382 309.669173746895 31.2649491969665
constance lake joes stream allo D 19967.5757554351 8384 309.669173746895 33.0035423460137
constance lake ln marine allo D 13100.332795465 5173 309.669173746895 44.6415820125107
constance lake mh marine allo D 13149.3491019143 5244 309.669173746895 22.411722748908
constance lake mh white allo D 13149.3491019143 5244 309.669173746895 22.411722748908
constance lake misty lake allo S 19967.5757554351 8379 309.669173746895 29.5125087175889
constance lake misty stream allo D 19967.5757554351 8379 309.669173746895 29.5517026172354
constance lake roberts lake allo S 20648.0939019238 8337 309.669173746895 8.59103806541302
constance lake roberts stream allo D 20648.0939019238 8337 309.669173746895 10.3882673261491
constance lake sk marine allo D 13054.7987286538 5183 309.669173746895 36.6348277359459
constance lake sr marine allo D 13149.3491019143 5240 309.669173746895 11.8394149646078
constance lake sr white allo D 13149.3491019143 5240 309.669173746895 11.8394149646078
constance stream al marine allo D 13087.5224518935 5254 312.874383317611 17.7034262798047
constance stream cl marine allo D 13396.2955977516 5449 312.874383317611 2.55735725140837
constance stream cl white allo D 13396.2955977516 5449 312.874383317611 2.55735725140837
constance stream cp marine allo D 13087.5224518935 5245 312.874383317611 9.43806083460371
constance stream geneva lake allo D 1906.33169491669 243 312.874383317611 276.805569090188
constance stream geneva stream allo S 1906.33169491669 236 312.874383317611 257.985717905614
constance stream joes lake allo D 19967.5757554351 8380 312.874383317611 31.2649491969665
constance stream joes stream allo S 19967.5757554351 8382 312.874383317611 33.0035423460137
constance stream ln marine allo D 13100.332795465 5169 312.874383317611 44.6415820125107
constance stream mh marine allo D 13149.3491019143 5240 312.874383317611 22.411722748908
constance stream mh white allo D 13149.3491019143 5240 312.874383317611 22.411722748908
constance stream misty lake allo D 19967.5757554351 8376 312.874383317611 29.5125087175889
constance stream misty stream allo S 19967.5757554351 8377 312.874383317611 29.5517026172354
constance stream roberts lake allo D 20648.0939019238 8335 312.874383317611 8.59103806541302
constance stream roberts stream allo S 20648.0939019238 8335 312.874383317611 10.3882673261491
constance stream sk marine allo D 13054.7987286538 5179 312.874383317611 36.6348277359459
constance stream sr marine allo D 13149.3491019143 5236 312.874383317611 11.8394149646078
constance stream sr white allo D 13149.3491019143 5236 312.874383317611 11.8394149646078
cp marine ln marine allo S 64.127005447629 77 10.799793169396 43.5627804024789
cp marine mh marine allo S 74.8428676778325 31 10.799793169396 23.2791620087163
cp marine mh white allo D 74.8428676778325 31 10.799793169396 23.2791620087163
cp marine sk marine allo S 56.4049445565374 66 10.799793169396 35.9627143348956
cp marine sr marine allo S 74.8428676778325 47 10.799793169396 12.6560282118309
cp marine sr white allo D 74.8428676778325 47 10.799793169396 12.6560282118309
cr stream al marine allo D 12332.2393597195 4510 287.744678929334 19.5545455227529
cr stream bea lake allo D 2714.94002141447 2716 287.744678929334 15.1764679280707
cr stream boot lake allo D 827.122734928047 746 287.744678929334 7.46028713650605
cr stream boot stream allo S 827.122734928047 746 287.744678929334 8.65079081347112
cr stream cl marine allo D 12640.5404859118 4410 287.744678929334 1.3313493302831
cr stream cl white allo D 12640.5404859118 4410 287.744678929334 1.3313493302831
cr stream constance lake allo D 20770.9960981584 8716 277.555023648124 309.669173746895
cr stream constance stream allo S 20770.9960981584 8714 277.555023648124 312.874383317611
cr stream cp marine allo D 12332.2393597195 4516 287.744678929334 10.799793169396
cr stream cs marine allo D 126.706999404132 307 287.744678929334 1.48733134188384
cr stream denmark marine allo D 14624.7586026729 7854 277.555023648124 6.47121154776159
cr stream geneva lake allo D 18874.7852630626 8683 277.555023648124 276.805569090188
cr stream geneva stream allo S 18874.7852630626 8702 277.555023648124 257.985717905614
cr stream hadsten lake allo D 14917.5344661897 7925 277.555023648124 28.1229144248713
cr stream hald lake allo D 14642.3703745669 7896 277.555023648124 50.825958263956
cr stream japan japansea allo D 9371.91386733352 7152 287.744678929334 5.72190050170233
cr stream japan marine allo D 9371.91386733352 7152 287.744678929334 5.72190050170233
cr stream joes lake allo D 921.052964493713 858 287.744678929334 32.9738197627999
cr stream joes stream allo S 921.052964493713 859 287.744678929334 34.6727935777415
cr stream litcampbell marine allo D 649.041371918574 566 287.744678929334 3.72077939069441
cr stream ln marine allo D 12268.1933405474 4568 287.744678929334 43.5627804024789
cr stream mariager marine allo D 14811.8160337705 7892 277.555023648124 37.7902832024181
cr stream mh marine allo D 12386.1313291437 4542 287.744678929334 23.2791620087163
cr stream mh white allo D 12386.1313291437 4542 287.744678929334 23.2791620087163
cr stream misty lake allo D 930.385724400313 851 287.744678929334 30.0015494521578
cr stream misty stream allo S 930.385724400313 852 287.744678929334 30.2022449210771
cr stream ms marine allo D NA 249 287.744678929334 40.4648706327823
cr stream mud lake allo D 2729.08847043449 2677 287.744678929334 19.2616901263323
cr stream pcr lake allo D 69.7433265976252 98 287.744678929334 248.697026831348
cr stream pl lake allo D 69.7433265976252 98 287.744678929334 248.601702377802
cr stream rab marine allo D 2729.08847043449 2672 287.744678929334 24.1135004108647
cr stream rb stream allo S 54.9526996544151 201 287.744678929334 91.3920533990718
cr stream res marine allo D 2571.05533724231 2615 287.744678929334 5.94376668715504
cr stream roberts lake allo D 827.122734928047 757 287.744678929334 10.2596107335627
cr stream roberts stream allo S 827.122734928047 758 287.744678929334 12.0492075753957
cr stream sj marine allo D 69.7433265976252 245 287.744678929334 47.5330293943695
cr stream sk marine allo D 12282.9839674906 4559 287.744678929334 35.9627143348956
cr stream sr marine allo D 12386.1313291437 4556 287.744678929334 12.6560282118309
cr stream sr white allo D 12386.1313291437 4556 287.744678929334 12.6560282118309
cr stream stl lake allo D 130.749317336086 298 287.744678929334 17.6082564970015
cr stream wc stream allo S 162.190294397677 318 287.744678929334 20.2170101607027
cs marine al marine allo S 12434.1872497321 4810 1.48733134188384 19.5545455227529
cs marine bea lake allo D 2816.88791142714 2609 1.48733134188384 15.1764679280707
cs marine boot lake allo D 929.135802979281 721 1.48733134188384 7.46028713650605
cs marine boot stream allo D 929.135802979281 720 1.48733134188384 8.65079081347112
cs marine cl marine allo S 12742.4883759244 4712 1.48733134188384 1.3313493302831
cs marine cl white allo D 12742.4883759244 4712 1.48733134188384 1.3313493302831
cs marine constance lake allo D 20787.6307327511 8926 2.69582613227875 309.669173746895
cs marine constance stream allo D 20787.6307327511 8924 2.69582613227875 312.874383317611
cs marine cp marine allo S 12434.1872497321 4815 1.48733134188384 10.799793169396
cs marine denmark marine allo S 14641.3932372656 8045 2.69582613227875 6.47121154776159
cs marine geneva lake allo D 18891.4198976554 8901 2.69582613227875 276.805569090188
cs marine geneva stream allo D 18891.4198976554 8920 2.69582613227875 257.985717905614
cs marine hadsten lake allo D 14934.1691007825 8112 2.69582613227875 28.1229144248713
cs marine hald lake allo D 14659.0050091596 8084 2.69582613227875 50.825958263956
cs marine japan japansea allo D 9473.8617573462 6944 1.48733134188384 5.72190050170233
cs marine japan marine allo S 9473.8617573462 6944 1.48733134188384 5.72190050170233
cs marine joes lake allo D 1023.00085450639 789 1.48733134188384 32.9738197627999
cs marine joes stream allo D 1023.00085450639 788 1.48733134188384 34.6727935777415
cs marine litcampbell marine allo S 751.054439969808 613 1.48733134188384 3.72077939069441
cs marine ln marine allo S 12370.14123056 4866 1.48733134188384 43.5627804024789
cs marine mariager marine allo S 14828.4506683632 8079 2.69582613227875 37.7902832024181
cs marine mh marine allo S 12488.0792191564 4842 1.48733134188384 23.2791620087163
cs marine mh white allo D 12488.0792191564 4842 1.48733134188384 23.2791620087163
cs marine misty lake allo D 1032.33361441299 785 1.48733134188384 30.0015494521578
cs marine misty stream allo D 1032.33361441299 785 1.48733134188384 30.2022449210771
cs marine ms marine allo S 126.706999404132 117 1.48733134188384 40.4648706327823
cs marine mud lake allo D 2831.03636044716 2572 1.48733134188384 19.2616901263323
cs marine pcr lake allo D 56.9961400857255 250 1.48733134188384 248.697026831348
cs marine pl lake allo D 56.9961400857255 250 1.48733134188384 248.601702377802
cs marine rab marine allo S 2831.03636044716 2564 1.48733134188384 24.1135004108647
cs marine rb stream allo D 71.7786552227342 111 1.48733134188384 91.3920533990718
cs marine res marine allo S 2673.00322725499 2494 1.48733134188384 5.94376668715504
cs marine roberts lake allo D 929.135802979281 732 1.48733134188384 10.2596107335627
cs marine roberts stream allo D 929.135802979281 733 1.48733134188384 12.0492075753957
cs marine sj marine para S 56.9961400857255 71 1.48733134188384 47.5330293943695
cs marine sk marine allo S 12384.9318575032 4857 1.48733134188384 35.9627143348956
cs marine sr marine allo S 12488.0792191564 4856 1.48733134188384 12.6560282118309
cs marine sr white allo D 12488.0792191564 4856 1.48733134188384 12.6560282118309
cs marine stl lake allo D 25.5389359544652 22 1.48733134188384 17.6082564970015
cs marine wc stream allo D 57.0204530414097 50 1.48733134188384 20.2170101607027
denmark marine al marine allo S 6941.28495640803 4825 6.47121154776159 17.7034262798047
denmark marine boot lake allo D 14501.8564064382 7435 6.47121154776159 5.67597216838165
denmark marine boot stream allo D 14501.8564064382 7436 6.47121154776159 6.91833221364208
denmark marine cl marine allo S 7250.05810226605 5023 6.47121154776159 2.55735725140837
denmark marine cl white allo D 7250.05810226605 5023 6.47121154776159 2.55735725140837
denmark marine constance lake allo D 7073.41830265721 1008 6.47121154776159 309.669173746895
denmark marine constance stream allo D 7073.41830265721 1007 6.47121154776159 312.874383317611
denmark marine cp marine allo S 6941.28495640803 4817 6.47121154776159 9.43806083460371
denmark marine geneva lake allo D 5177.20746756145 1126 6.47121154776159 276.805569090188
denmark marine geneva stream allo D 5177.20746756145 1136 6.47121154776159 257.985717905614
denmark marine joes lake allo D 13821.3382599496 7461 6.47121154776159 31.2649491969665
denmark marine joes stream allo D 13821.3382599496 7463 6.47121154776159 33.0035423460137
denmark marine litcampbell marine allo S 14325.1919310001 7455 6.47121154776159 5.04389141424376
denmark marine ln marine allo S 6954.09529997947 4742 6.47121154776159 44.6415820125107
denmark marine mh marine allo S 7003.11160642874 4818 6.47121154776159 22.411722748908
denmark marine mh white allo D 7003.11160642874 4818 6.47121154776159 22.411722748908
denmark marine misty lake allo D 13821.3382599496 7458 6.47121154776159 29.5125087175889
denmark marine misty stream allo D 13821.3382599496 7458 6.47121154776159 29.5517026172354
denmark marine roberts lake allo D 14501.8564064382 7425 6.47121154776159 8.59103806541302
denmark marine roberts stream allo D 14501.8564064382 7425 6.47121154776159 10.3882673261491
denmark marine sk marine allo S 6908.56123316827 4751 6.47121154776159 36.6348277359459
denmark marine sr marine allo S 7003.11160642874 4817 6.47121154776159 11.8394149646078
denmark marine sr white allo D 7003.11160642874 4817 6.47121154776159 11.8394149646078
geneva lake al marine allo D 11191.3116167978 5109 276.805569090188 17.7034262798047
geneva lake cl marine allo D 11500.0847626558 5303 276.805569090188 2.55735725140837
geneva lake cl white allo D 11500.0847626558 5303 276.805569090188 2.55735725140837
geneva lake cp marine allo D 11191.3116167978 5100 276.805569090188 9.43806083460371
geneva lake geneva stream para D NA 19 276.805569090188 257.985717905614
geneva lake joes lake allo S 18071.3649203394 8381 276.805569090188 31.2649491969665
geneva lake joes stream allo D 18071.3649203394 8383 276.805569090188 33.0035423460137
geneva lake ln marine allo D 11204.1219603692 5024 276.805569090188 44.6415820125107
geneva lake mh marine allo D 11253.1382668185 5094 276.805569090188 22.411722748908
geneva lake mh white allo D 11253.1382668185 5094 276.805569090188 22.411722748908
geneva lake misty lake allo S 18071.3649203394 8377 276.805569090188 29.5125087175889
geneva lake misty stream allo D 18071.3649203394 8377 276.805569090188 29.5517026172354
geneva lake roberts lake allo S 18751.883066828 8330 276.805569090188 8.59103806541302
geneva lake roberts stream allo D 18751.883066828 8330 276.805569090188 10.3882673261491
geneva lake sk marine allo D 11158.587893558 5034 276.805569090188 36.6348277359459
geneva lake sr marine allo D 11253.1382668185 5089 276.805569090188 11.8394149646078
geneva lake sr white allo D 11253.1382668185 5089 276.805569090188 11.8394149646078
geneva stream al marine allo D 11191.3116167978 5128 257.985717905614 17.7034262798047
geneva stream cl marine allo D 11500.0847626558 5322 257.985717905614 2.55735725140837
geneva stream cl white allo D 11500.0847626558 5322 257.985717905614 2.55735725140837
geneva stream cp marine allo D 11191.3116167978 5119 257.985717905614 9.43806083460371
geneva stream joes lake allo D 18071.3649203394 8398 257.985717905614 31.2649491969665
geneva stream joes stream allo S 18071.3649203394 8400 257.985717905614 33.0035423460137
geneva stream ln marine allo D 11204.1219603692 5043 257.985717905614 44.6415820125107
geneva stream mh marine allo D 11253.1382668185 5113 257.985717905614 22.411722748908
geneva stream mh white allo D 11253.1382668185 5113 257.985717905614 22.411722748908
geneva stream misty lake allo D 18071.3649203394 8394 257.985717905614 29.5125087175889
geneva stream misty stream allo S 18071.3649203394 8395 257.985717905614 29.5517026172354
geneva stream roberts lake allo D 18751.883066828 8348 257.985717905614 8.59103806541302
geneva stream roberts stream allo S 18751.883066828 8348 257.985717905614 10.3882673261491
geneva stream sk marine allo D 11158.587893558 5053 257.985717905614 36.6348277359459
geneva stream sr marine allo D 11253.1382668185 5108 257.985717905614 11.8394149646078
geneva stream sr white allo D 11253.1382668185 5108 257.985717905614 11.8394149646078
hadsten lake al marine allo D 7234.0608199249 4936 28.1229144248713 17.7034262798047
hadsten lake bea lake allo S 12632.6983980472 6785 28.1229144248713 14.5206731368352
hadsten lake boot lake allo S 14794.6322699551 7496 28.1229144248713 5.67597216838165
hadsten lake boot stream allo D 14794.6322699551 7497 28.1229144248713 6.91833221364208
hadsten lake cl marine allo D 7542.83396578291 5134 28.1229144248713 2.55735725140837
hadsten lake cl white allo D 7542.83396578291 5134 28.1229144248713 2.55735725140837
hadsten lake constance lake allo S 7530.34131882363 1002 28.1229144248713 309.669173746895
hadsten lake constance stream allo D 7530.34131882363 1003 28.1229144248713 312.874383317611
hadsten lake cp marine allo D 7234.0608199249 4928 28.1229144248713 9.43806083460371
hadsten lake denmark marine allo D 467.376027792635 115 28.1229144248713 6.47121154776159
hadsten lake geneva lake allo S 5634.13048372786 1143 28.1229144248713 276.805569090188
hadsten lake geneva stream allo D 5634.13048372786 1152 28.1229144248713 257.985717905614
hadsten lake hald lake allo S 406.30702561645 43 28.1229144248713 50.825958263956
hadsten lake japan japansea allo D 12964.6104424756 8185 28.1229144248713 5.72190050170233
hadsten lake japan marine allo D 12964.6104424756 8185 28.1229144248713 5.72190050170233
hadsten lake joes lake allo S 14114.1141234665 7519 28.1229144248713 31.2649491969665
hadsten lake joes stream allo D 14114.1141234665 7521 28.1229144248713 33.0035423460137
hadsten lake litcampbell marine allo D 14617.9677945169 7519 28.1229144248713 5.04389141424376
hadsten lake ln marine allo D 7246.87116349633 4853 28.1229144248713 44.6415820125107
hadsten lake mariager marine allo D 119.984465689795 37 28.1229144248713 37.7902832024181
hadsten lake mh marine allo D 7295.88746994561 4929 28.1229144248713 22.411722748908
hadsten lake mh white allo D 7295.88746994561 4929 28.1229144248713 22.411722748908
hadsten lake misty lake allo S 14114.1141234665 7517 28.1229144248713 29.5125087175889
hadsten lake misty stream allo D 14114.1141234665 7517 28.1229144248713 29.5517026172354
hadsten lake mud lake allo S 12639.7685052059 6781 28.1229144248713 20.0531727382859
hadsten lake rab marine allo D 12639.7685052059 6808 28.1229144248713 24.4017841973993
hadsten lake res marine allo D 12326.5766927944 6942 28.1229144248713 5.83281857119578
hadsten lake roberts lake allo S 14794.6322699551 7486 28.1229144248713 8.59103806541302
