study,pop,ecotype,pop_alias,data_source,pooled,accession_number,barcode,seq_type,latitude,longitude,Region,N
samuk,Milford Haven Collection ,marine,mh,UBC,no,NA,,GBS,45.45772194,-61.61208761,Nova Scotia,9
samuk,Milford Haven Collection ,white,mh,UBC,no,NA,,GBS,45.45772194,-61.61208761,Nova Scotia,7
samuk,Salmon River Estuary ,marine,sr,UBC,no,NA,,GBS,45.35265732,-61.47283403,Nova Scotia,14
samuk,Salmon River Estuary ,white,sr,UBC,no,NA,,GBS,45.35265732,-61.47283403,Nova Scotia,17
samuk,Skye River ,marine,sk,UBC,no,NA,,GBS,45.97041687,-61.11930231,Nova Scotia,15
samuk,Little Narrows ,marine,ln,UBC,no,NA,,GBS,45.99215909,-60.98498462,Nova Scotia,25
jones,BITJ,marine,atl,SRA,no,PRJNA247503,,WGS,65.457,-21.44,Iceland,1
jones,NTRW,marine,atl,SRA,no,PRJNA247503,,WGS,68.5,2,Norway,1
roesti,geneva,lake,geneva,SRA,no,SRP007695,,RAD,46.31289,6.34417,Switzerland,27
roesti,geneva,stream,geneva,SRA,no,SRP007695,,RAD,46.205218,6.543743,Switzerland,27
Feulner,atlantic,marine,denmark,ENA,no,PRJEB2954,,WGS,56.36919,8.18194,Denmark,6
roesti,constance,stream,constance,SRA,no,SRP007695,,RAD,47.332925,9.164238,Switzerland,27
roesti,constance,lake,constance,SRA,no,SRP007695,,RAD,47.33225,9.224825,Switzerland,27
ferchaud,lake_hald,lake,hald,SRA,no,SRX437379,,RAD,56.382883,9.35422,Denmark,20
ferchaud,mariager,marine,mariager,SRA,no,SRX437379,,RAD,56.662588,9.968612,Denmark,20
ferchaud,hadsten,lake,hadsten,SRA,no,SRX437379,,RAD,56.3298,10.0476,Denmark,20
terekhanova,mashinnoye_lake,lake,mash,SRA,yes,SRP023197 ,,WGS,66.1774,33.2182,Russia,10
terekhanova,ershovskoye,marine,ershov,SRA,yes,SRP023197 ,,WGS,66.3221,33.362,Russia,10
terekhanova,ershovskoye,lake,ershov,SRA,yes,SRP023197 ,,WGS,66.3221,33.362,Russia,12
terekhanova,nilma,marine,nilma,SRA,yes,SRP023197 ,,WGS,66.3045,33.768,Russia,16
jones,MANC,marine,pac,SRA,no,PRJNA247503,,WGS,47.567,-122.547,Oregon,1
Yoshida,japan_pac,marine,japan,DRA,no,DRA001136,,WGS,43.05375,144.89443,Japan,8
Yoshida,japan_sea,japansea,japan,DRA,no,DRA001136,,WGS,43.05375,144.89443,Japan,8
NA,little campbell river,marine,litcampbell,NA,NA,NA,,WGS,49.012722,-122.778247,BC,8
